Fossil Family,Body part,Original Cost,Adjusted Cost
Allosauridae,Skeleton,3303018.72,3488447.9
Stegosauridae,Virtually complete skeleton,19421482.25,20911741.34
Stegosauridae,Femur,6855285.82,7363647.17
Hypsilophodontidae,Composite skeleton,511756.87,610962.66
Ceratopsidae,Articulated leg,829580.81,991327.74
Hypsilophodontidae,Virtually complete skeleton,737214.39,840788.87
Allosauridae,Articulated leg,1611523.35,1873070.67
Ceratopsidae,Composite skeleton,1323659.64,1528775.27
Tarbosauridae,Femur,1351463.39,1535903.8
Thescelosauridae,Skeleton,609948.31,715799.42
Camptosauridae,Skeleton,1135318.98,1300320.48
Hypsilophodontidae,Femur,342200.62,364832.42
Hypsilophodontidae,Skeleton,682668.4,814641.92
Ceratopsidae,Articulated leg,729491.73,824283.16
Dromaeosauridae,Femur,2136134.64,2453474.72
Hypsilophodontidae,Articulated leg,356647.39,401369.98
Ceratopsidae,Partial skeleton,1005381.83,1184114.24
Hadrosauridae,Composite skeleton,1798768.92,2153890.46
Hypsilophodontidae,Composite skeleton,588654.75,677051.08
Thescelosauridae,Virtually complete skeleton,583764.28,653991.89
Stegosauridae,Skull,8503643.4,9271549.84
Stegosauridae,Articulated leg,8697429.49,10187134.7
Ceratopsidae,Composite skeleton,1184326.16,1402868.42
Tyrannosauridae,Femur,4190891.44,4675934.43
Hypsilophodontidae,Nest with eggs,205669.58,244510.78
Tarbosauridae,Partial skeleton,1600881.71,1861799.64
Tyrannosauridae,Femur,3719354.57,4258516.45
Hypsilophodontidae,Nest with eggs,217507.13,230215.77
Dromaeosauridae,Virtually complete skeleton,3908601.02,4257569.95
Tarbosauridae,Partial skeleton,1802022.09,2021319.95
Stegosauridae,Femur,7013982.19,8103424.15
Stegosauridae,Articulated leg,8646479.33,9534033.31
Camptosauridae,Skull,760890.94,898269.31
Hadrosauridae,Partial skeleton,1588687.41,1822926.76
Thescelosauridae,Composite skeleton,492608.25,532324.15
Diplodocidae,Femur,2241573.9,2502609.08
Camptosauridae,Nest with eggs,303300.07,357864.83
Stegosauridae,Skeleton,15557088.47,17488314.11
Diplodocidae,Virtually complete skeleton,5120441.8,5461077.1
Hypsilophodontidae,Skull,434876.23,480117.02
Hypsilophodontidae,Virtually complete skeleton,706514.32,781073.05
Hypsilophodontidae,Femur,270036.57,284098.49
Tyrannosauridae,Articulated leg,4921190.36,5869033.08
Hypsilophodontidae,Composite skeleton,593168.31,652452.77
Unidentified,Partial skeleton,334244.74,392266.73
Apatosauridae,Nest with eggs,2926551.59,3365169.36
Hadrosauridae,Articulated leg,1260996.1,1331375.23
Ceratopsidae,Partial skeleton,1082011.73,1157731.6
Tarbosauridae,Skull,1604509.25,1687360.48
Hypsilophodontidae,Composite skeleton,615060.7,734538.33
Dromaeosauridae,Partial skeleton,3189542.96,3374772.8
Camptosauridae,Composite skeleton,958848.58,1013778.24
Apatosauridae,Articulated leg,5680187.64,6039077.55
Stegosauridae,Skull,9384356.56,10014329.58
Tyrannosauridae,Nest with eggs,2423186.42,2626817.48
Hypsilophodontidae,Virtually complete skeleton,660852.44,740990.52
Allosauridae,Nest with eggs,987743.86,1146840.77
Apatosauridae,Skull,5721508.97,6722773.85
Hadrosauridae,Nest with eggs,526216.36,554801.61
Tyrannosauridae,Nest with eggs,2181458.55,2528861.96
Unidentified,Skeleton,375918.78,394927.13
Tyrannosauridae,Skull,5519407.54,6224120.77
Ceratopsidae,Composite skeleton,1167371.76,1252327.99
Dromaeosauridae,Nest with eggs,1263462.09,1403900.84
Stegosauridae,Skull,11799425.86,13088944.58
Apatosauridae,Virtually complete skeleton,8182994.35,9226439.3
Tyrannosauridae,Femur,3860150.76,4586698.74
Hypsilophodontidae,Femur,320815.81,352166.03
Allosauridae,Nest with eggs,1111901.62,1221986.33
Thescelosauridae,Nest with eggs,181760.48,197237.49
Thescelosauridae,Skeleton,459585.55,502645.16
Dromaeosauridae,Composite skeleton,3668688.34,3858153.98
Ceratopsidae,Virtually complete skeleton,1344166.54,1505060.04
Tyrannosauridae,Composite skeleton,8148794.46,8645052.63
Tyrannosauridae,Composite skeleton,6659227.58,7921127.77
Unidentified,Virtually complete skeleton,534723.27,598224.0
Camptosauridae,Skeleton,958417.66,1014341.18
Stegosauridae,Skull,10118059.16,11709017.98
Tarbosauridae,Femur,1110326.07,1272182.83
Hadrosauridae,Virtually complete skeleton,1974214.98,2099273.26
Ceratopsidae,Skull,780120.92,841928.88
Allosauridae,Composite skeleton,2879681.89,3242842.54
Thescelosauridae,Nest with eggs,168211.57,199177.78
Stegosauridae,Virtually complete skeleton,16313644.9,19413698.88
Stegosauridae,Virtually complete skeleton,17336384.6,18502571.57
Tyrannosauridae,Femur,4281619.31,4745192.67
Ceratopsidae,Nest with eggs,332541.69,361940.76
Dromaeosauridae,Virtually complete skeleton,3583805.35,4082214.05
Tyrannosauridae,Skeleton,7443926.45,7932572.39
Stegosauridae,Nest with eggs,4199777.48,4817888.1
Tyrannosauridae,Femur,3972781.31,4630797.01
Tyrannosauridae,Partial skeleton,5875759.33,6387397.47
Tyrannosauridae,Nest with eggs,2519866.13,2855106.24
Tarbosauridae,Femur,1263963.39,1478348.51
Camptosauridae,Skull,715398.23,850199.86
Dromaeosauridae,Skeleton,4530506.03,5160671.76
Thescelosauridae,Virtually complete skeleton,539515.96,624589.64
Unidentified,Femur,217323.25,237521.06
Allosauridae,Partial skeleton,2765078.9,3037404.94
Allosauridae,Femur,1675990.79,2001097.22
Tarbosauridae,Virtually complete skeleton,2539196.5,2942992.27
Apatosauridae,Skull,6630105.15,7230610.17
Unidentified,Skull,318424.68,344521.07
Apatosauridae,Skull,5815254.1,6849818.86
Tarbosauridae,Femur,1397907.84,1672794.84
Tarbosauridae,Nest with eggs,653898.8,729683.77
Apatosauridae,Articulated leg,5831289.3,6329428.3
Ceratopsidae,Skeleton,1182556.07,1406345.14
Camptosauridae,Skeleton,1184263.65,1351956.95
Dromaeosauridae,Partial skeleton,2987377.45,3382529.25
Thescelosauridae,Articulated leg,283473.96,335339.52
Allosauridae,Nest with eggs,1009952.44,1068706.59
Apatosauridae,Articulated leg,5532822.85,6512062.95
Hadrosauridae,Composite skeleton,1541960.15,1731959.42
Unidentified,Skull,241967.59,256458.9
Hadrosauridae,Composite skeleton,1766857.5,1939177.99
Hypsilophodontidae,Partial skeleton,492759.41,538404.76
Stegosauridae,Composite skeleton,14315720.87,17059127.66
Apatosauridae,Skull,5743510.55,6804650.64
Dromaeosauridae,Partial skeleton,3087972.4,3703971.63
Unidentified,Composite skeleton,534751.4,605589.55
Camptosauridae,Skull,740517.95,853998.2
Allosauridae,Skull,2077248.99,2410305.44
Camptosauridae,Nest with eggs,382453.79,408062.48
Camptosauridae,Nest with eggs,368035.35,424351.56
Unidentified,Partial skeleton,296337.33,347623.61
Diplodocidae,Femur,2415928.5,2746681.6
Ceratopsidae,Articulated leg,796247.71,864109.58
Dromaeosauridae,Skeleton,3132531.06,3730522.56
Tarbosauridae,Articulated leg,1199570.01,1312546.98
Tarbosauridae,Partial skeleton,2185588.45,2375989.07
Stegosauridae,Composite skeleton,12742593.74,14824177.47
Tarbosauridae,Composite skeleton,1987294.56,2229474.68
Tyrannosauridae,Femur,4082524.7,4382579.31
Allosauridae,Skeleton,3333780.61,3696119.57
Tarbosauridae,Virtually complete skeleton,2463712.21,2601600.22
Apatosauridae,Virtually complete skeleton,9426032.95,11039973.13
Apatosauridae,Nest with eggs,2998373.93,3396416.04
Tyrannosauridae,Skeleton,7717946.41,9197775.72
Dromaeosauridae,Virtually complete skeleton,4354366.83,4576228.1
Hypsilophodontidae,Partial skeleton,485252.3,557373.11
Apatosauridae,Femur,4716671.34,5639549.35
Stegosauridae,Skeleton,15502483.86,18539738.02
Hypsilophodontidae,Skull,426321.75,487082.94
Hypsilophodontidae,Partial skeleton,491617.7,574670.72
Ceratopsidae,Virtually complete skeleton,1224709.08,1460049.44
Thescelosauridae,Skull,343691.55,380325.44
Ceratopsidae,Composite skeleton,1269400.94,1479009.47
Camptosauridae,Nest with eggs,405813.88,468824.23
Ceratopsidae,Nest with eggs,369156.26,403753.85
Hypsilophodontidae,Skeleton,617034.65,656128.54
Ceratopsidae,Composite skeleton,1016743.46,1076461.29
Hypsilophodontidae,Composite skeleton,469589.02,509288.37
Hadrosauridae,Skull,1243491.77,1423340.65
Tyrannosauridae,Skeleton,8174899.75,9650980.51
Camptosauridae,Composite skeleton,1006065.65,1148330.92
Ceratopsidae,Skull,803034.97,938613.42
Hypsilophodontidae,Nest with eggs,219625.77,240188.45
Unidentified,Virtually complete skeleton,521439.14,609840.69
Dromaeosauridae,Articulated leg,2115473.85,2361689.51
Stegosauridae,Composite skeleton,11363835.19,12564121.12
Apatosauridae,Partial skeleton,7890196.77,9368278.16
Ceratopsidae,Nest with eggs,385154.73,443151.51
Stegosauridae,Articulated leg,9037852.28,10039716.26
Ceratopsidae,Partial skeleton,986465.86,1138657.95
Thescelosauridae,Skeleton,487914.08,550543.96
Unidentified,Nest with eggs,141958.8,149881.6
Diplodocidae,Articulated leg,2787033.9,2983079.01
Tyrannosauridae,Skeleton,7955148.91,9309017.29
Hypsilophodontidae,Partial skeleton,523915.8,565650.08
Apatosauridae,Partial skeleton,7778379.81,8477000.75
Thescelosauridae,Nest with eggs,161554.91,193556.93
Stegosauridae,Skull,11283862.45,12340455.11
Stegosauridae,Skeleton,14677845.61,17254348.28
Hadrosauridae,Composite skeleton,1627240.12,1940283.93
Apatosauridae,Femur,4867357.29,5471235.02
Apatosauridae,Skeleton,8090969.93,9575501.96
Hypsilophodontidae,Skull,419397.88,467118.84
Stegosauridae,Articulated leg,7937224.83,8781475.72
Ceratopsidae,Virtually complete skeleton,1530800.05,1637640.12
Apatosauridae,Articulated leg,5159364.67,5627237.42
Camptosauridae,Partial skeleton,741994.47,870999.1
Hadrosauridae,Skeleton,1764029.39,1914447.46
Allosauridae,Partial skeleton,2313487.26,2761703.58
Thescelosauridae,Composite skeleton,495070.26,589279.51
Thescelosauridae,Nest with eggs,161271.84,189847.94
Stegosauridae,Femur,6935356.84,7954350.48
Tyrannosauridae,Skeleton,7674226.05,8205419.49
Camptosauridae,Articulated leg,653113.3,768901.36
Allosauridae,Nest with eggs,1115875.7,1336005.34
Tyrannosauridae,Composite skeleton,5519118.42,6458677.59
Camptosauridae,Composite skeleton,851386.99,962564.55
Ceratopsidae,Articulated leg,566082.17,658733.78
Allosauridae,Skull,2094662.41,2261853.94
Hadrosauridae,Virtually complete skeleton,2141074.79,2396272.34
Apatosauridae,Nest with eggs,3333557.93,3620185.31
Apatosauridae,Composite skeleton,7806250.94,9219030.27
Stegosauridae,Femur,6738423.91,7780370.84
Ceratopsidae,Virtually complete skeleton,1389124.61,1552802.87
Stegosauridae,Composite skeleton,11257776.69,12544781.76
Camptosauridae,Articulated leg,616726.73,731167.37
Thescelosauridae,Composite skeleton,461684.71,510306.54
Dromaeosauridae,Femur,2033965.22,2287733.85
Dromaeosauridae,Virtually complete skeleton,3717100.37,4004459.23
Tyrannosauridae,Virtually complete skeleton,9329948.56,11137036.15
Camptosauridae,Skull,727990.53,867341.18
Apatosauridae,Partial skeleton,7184089.17,8310422.29
Allosauridae,Nest with eggs,1016842.65,1216206.74
Thescelosauridae,Partial skeleton,418471.51,440475.47
Dromaeosauridae,Femur,1908628.49,2072709.36
Diplodocidae,Virtually complete skeleton,5178396.99,5785199.56
Camptosauridae,Virtually complete skeleton,1083445.41,1242315.91
Tarbosauridae,Virtually complete skeleton,2258450.87,2628378.41
Hadrosauridae,Composite skeleton,1633392.49,1913623.37
Apatosauridae,Virtually complete skeleton,10344067.08,12109313.88
Tarbosauridae,Virtually complete skeleton,2921213.6,3345631.14
Stegosauridae,Composite skeleton,13595778.95,15854561.83
Hadrosauridae,Nest with eggs,599888.63,699580.36
Unidentified,Nest with eggs,162009.64,182633.01
Unidentified,Articulated leg,286281.76,302311.77
Apatosauridae,Partial skeleton,7701942.24,8729509.03
Apatosauridae,Nest with eggs,2598043.85,3084062.68
Apatosauridae,Composite skeleton,9105215.67,10141679.73
Hypsilophodontidae,Nest with eggs,207411.09,237862.5
Hypsilophodontidae,Femur,277570.18,294785.37
Unidentified,Nest with eggs,158168.74,172091.13
Hadrosauridae,Nest with eggs,584407.9,664407.69
Diplodocidae,Partial skeleton,2994712.72,3493496.66
Ceratopsidae,Skull,754854.12,833393.08
Diplodocidae,Femur,2019931.25,2307598.24
Tarbosauridae,Femur,1095285.66,1158017.75
Camptosauridae,Femur,531704.64,627655.73
Hypsilophodontidae,Articulated leg,423328.45,460534.88
Thescelosauridae,Articulated leg,343413.02,391931.43
Unidentified,Partial skeleton,361458.53,399537.48
Dromaeosauridae,Skeleton,3867765.5,4453524.2
Stegosauridae,Skeleton,17206718.17,20216444.12
Stegosauridae,Skull,10940824.31,11749552.12
Ceratopsidae,Composite skeleton,1143695.0,1279789.99
Unidentified,Composite skeleton,382730.3,446895.32
Tarbosauridae,Articulated leg,1335326.68,1435051.07
Diplodocidae,Articulated leg,3191284.23,3790401.1
Allosauridae,Virtually complete skeleton,3325287.78,3946658.39
Unidentified,Partial skeleton,336444.47,388403.14
Tyrannosauridae,Femur,4383503.76,5137342.3
Tyrannosauridae,Virtually complete skeleton,9358318.59,10723776.96
Diplodocidae,Partial skeleton,3593683.54,4216685.8
Stegosauridae,Virtually complete skeleton,15169045.23,17749787.11
Camptosauridae,Femur,535667.31,569553.41
Hypsilophodontidae,Nest with eggs,179555.08,191928.15
Stegosauridae,Skull,10433850.56,12471160.66
Dromaeosauridae,Skeleton,4308047.49,4821102.1
Unidentified,Virtually complete skeleton,443631.04,492955.79
Apatosauridae,Virtually complete skeleton,9194066.91,10370556.41
Stegosauridae,Skull,9159819.24,10580604.71
Ceratopsidae,Skeleton,1047511.94,1229492.29
Tyrannosauridae,Virtually complete skeleton,8972877.46,9616287.1
Stegosauridae,Partial skeleton,12171796.19,13648187.99
Diplodocidae,Composite skeleton,4575902.19,5166382.41
Apatosauridae,Articulated leg,4658864.29,5267875.57
Camptosauridae,Partial skeleton,1004195.63,1140350.52
Diplodocidae,Femur,2207099.01,2559567.47
Hadrosauridae,Skull,1231467.58,1437277.17
Hadrosauridae,Articulated leg,1022030.71,1108581.54
Allosauridae,Virtually complete skeleton,3026942.12,3184216.04
Thescelosauridae,Skull,332573.43,369716.83
Diplodocidae,Skull,3339955.1,3591606.09
Ceratopsidae,Skeleton,1151101.96,1236912.85
Stegosauridae,Composite skeleton,15253685.0,18089142.05
Unidentified,Skeleton,346179.92,397318.28
Dromaeosauridae,Composite skeleton,3905630.02,4189994.12
Unidentified,Skeleton,452561.08,510508.75
Apatosauridae,Composite skeleton,7706675.97,8517464.19
Camptosauridae,Femur,566872.23,660267.3
Camptosauridae,Skull,630596.72,715237.28
Camptosauridae,Nest with eggs,361051.27,380141.75
Thescelosauridae,Virtually complete skeleton,616204.6,724018.47
Diplodocidae,Skeleton,3501324.72,4128240.77
Apatosauridae,Skeleton,9597311.77,11453894.08
Camptosauridae,Articulated leg,768412.41,888968.22
Tyrannosauridae,Articulated leg,5169258.87,5576526.84
Hypsilophodontidae,Skeleton,535521.46,572763.23
Ceratopsidae,Virtually complete skeleton,1162075.38,1297691.19
Thescelosauridae,Composite skeleton,566796.65,679639.71
Tarbosauridae,Articulated leg,1322272.27,1492359.1
Apatosauridae,Composite skeleton,9220473.05,9828390.12
Tyrannosauridae,Femur,4264662.98,4863937.39
Tyrannosauridae,Articulated leg,4667221.68,5436686.63
Dromaeosauridae,Femur,2213496.77,2515059.12
Tyrannosauridae,Femur,3377903.51,3974260.38
Tarbosauridae,Composite skeleton,1873278.98,2136800.93
Allosauridae,Virtually complete skeleton,3871964.53,4253577.53
Hadrosauridae,Skull,986132.83,1128419.77
Unidentified,Femur,238867.07,283866.82
Hypsilophodontidae,Femur,322915.22,349797.88
Camptosauridae,Partial skeleton,923704.41,1105893.63
Diplodocidae,Femur,2353113.37,2636773.24
Thescelosauridae,Partial skeleton,423930.53,455774.99
Dromaeosauridae,Partial skeleton,3127140.23,3579666.16
Apatosauridae,Virtually complete skeleton,10569188.1,11495918.99
Hypsilophodontidae,Skull,375216.18,437966.19
Apatosauridae,Articulated leg,4780694.3,5583366.26
Allosauridae,Nest with eggs,830374.84,904006.12
Stegosauridae,Virtually complete skeleton,14140328.82,14897925.44
Camptosauridae,Skeleton,984545.69,1181095.43
Diplodocidae,Partial skeleton,3926287.03,4339516.04
Tarbosauridae,Skeleton,2198247.19,2591363.13
Allosauridae,Virtually complete skeleton,3907880.92,4224188.06
Stegosauridae,Partial skeleton,13191795.22,14739136.95
Camptosauridae,Partial skeleton,894521.31,999102.78
Ceratopsidae,Articulated leg,674055.84,712627.56
Hadrosauridae,Nest with eggs,688316.94,766019.91
Apatosauridae,Virtually complete skeleton,10157359.47,11924242.74
Hypsilophodontidae,Articulated leg,361961.72,426589.71
Hadrosauridae,Femur,1050816.28,1204299.31
Tyrannosauridae,Virtually complete skeleton,7562558.08,8112272.43
Camptosauridae,Femur,536942.75,627174.78
Ceratopsidae,Partial skeleton,839446.82,940623.08
Apatosauridae,Nest with eggs,3090547.72,3451445.6
Ceratopsidae,Nest with eggs,402800.69,462228.53
Tyrannosauridae,Articulated leg,4531188.01,5316136.67
Stegosauridae,Virtually complete skeleton,17831935.28,21113533.12
Tyrannosauridae,Articulated leg,4784032.78,5397903.81
Camptosauridae,Skeleton,1120322.12,1316806.85
Tyrannosauridae,Partial skeleton,5627439.73,6000052.45
Dromaeosauridae,Partial skeleton,3321262.45,3882292.64
Tyrannosauridae,Nest with eggs,2514130.36,2787257.89
Thescelosauridae,Skeleton,471375.08,537005.8
Camptosauridae,Femur,547828.8,612574.44
Apatosauridae,Composite skeleton,9270992.38,10229559.64
Ceratopsidae,Skeleton,1237527.51,1347292.46
Ceratopsidae,Skeleton,1186321.24,1305230.04
Unidentified,Virtually complete skeleton,564249.24,635305.71
Unidentified,Skeleton,398905.05,459352.37
Diplodocidae,Articulated leg,2667874.42,2811707.56
Stegosauridae,Femur,7339724.37,8006228.33
Allosauridae,Skeleton,2560790.25,2872843.94
Allosauridae,Virtually complete skeleton,3762796.27,3968621.46
Camptosauridae,Virtually complete skeleton,1395645.61,1478025.72
Ceratopsidae,Skull,626150.72,750361.96
Tarbosauridae,Virtually complete skeleton,2563619.73,3048941.45
Apatosauridae,Femur,4572050.52,5106696.13
Hadrosauridae,Articulated leg,1143302.13,1242912.76
Dromaeosauridae,Nest with eggs,1211609.98,1297004.17
Ceratopsidae,Virtually complete skeleton,1519244.34,1734726.41
Stegosauridae,Skeleton,14369802.84,15362700.66
Ceratopsidae,Skeleton,1271469.36,1428190.04
Stegosauridae,Virtually complete skeleton,18452094.49,21814797.07
Stegosauridae,Nest with eggs,5017031.01,5537322.87
Tyrannosauridae,Partial skeleton,6469339.08,7315044.38
Hadrosauridae,Articulated leg,930187.04,1086080.11
Ceratopsidae,Skeleton,1143302.32,1252457.41
Camptosauridae,Virtually complete skeleton,1028053.52,1228396.67
Thescelosauridae,Skull,379854.28,454227.78
Allosauridae,Femur,1461869.88,1536713.62
Hadrosauridae,Partial skeleton,1764998.1,1907582.6
Camptosauridae,Skull,689154.49,753508.66
Tyrannosauridae,Skeleton,8644176.02,10076747.46
Dromaeosauridae,Articulated leg,2343265.17,2539857.9
Stegosauridae,Articulated leg,7178442.64,7827517.65
Unidentified,Skeleton,395905.63,458819.58
Ceratopsidae,Skeleton,1192431.46,1293169.86
Dromaeosauridae,Skeleton,3551843.89,4156481.11
Apatosauridae,Skeleton,10068593.34,11224853.8
Camptosauridae,Articulated leg,665805.36,748922.21
Allosauridae,Articulated leg,1698626.46,1862509.24
Stegosauridae,Partial skeleton,11731608.06,12826982.02
Diplodocidae,Skull,2693054.24,2951648.21
Diplodocidae,Femur,2689949.78,3070682.04
Thescelosauridae,Composite skeleton,516246.53,569397.11
Ceratopsidae,Partial skeleton,992462.35,1115446.36
Ceratopsidae,Femur,568065.74,648965.14
Ceratopsidae,Skull,882766.38,1052310.63
Diplodocidae,Virtually complete skeleton,4701631.53,5542672.01
Tarbosauridae,Femur,1071589.71,1180132.37
Stegosauridae,Composite skeleton,15021198.67,17790176.98
Hypsilophodontidae,Partial skeleton,391884.34,425274.51
Tarbosauridae,Composite skeleton,2183938.57,2340659.65
Stegosauridae,Partial skeleton,12108537.66,12996871.9
Diplodocidae,Skeleton,4238757.34,4837964.77
Dromaeosauridae,Skull,2438952.64,2719895.76
Ceratopsidae,Composite skeleton,1215723.5,1321160.49
Tyrannosauridae,Skeleton,6732629.37,8037216.71
Apatosauridae,Femur,4198669.5,5000032.16
Camptosauridae,Articulated leg,694917.36,742119.09
Unidentified,Virtually complete skeleton,611851.03,728752.81
Unidentified,Femur,272280.54,293106.68
Hypsilophodontidae,Skeleton,624721.17,667857.51
Hadrosauridae,Nest with eggs,614663.22,694055.4
Stegosauridae,Nest with eggs,4893047.31,5226700.64
Apatosauridae,Skeleton,7475760.62,8430017.44
Ceratopsidae,Partial skeleton,1088366.49,1175818.26
Tarbosauridae,Virtually complete skeleton,2169027.09,2386696.57
Hypsilophodontidae,Articulated leg,343734.4,397020.44
Ceratopsidae,Articulated leg,814546.76,861318.63
Hadrosauridae,Articulated leg,1023200.91,1196958.71
Diplodocidae,Partial skeleton,3775715.52,4154586.73
Hypsilophodontidae,Femur,285709.75,322826.13
Tyrannosauridae,Articulated leg,4748181.96,5140527.42
Stegosauridae,Virtually complete skeleton,15389367.38,17791620.68
Thescelosauridae,Partial skeleton,451910.28,506031.95
Tyrannosauridae,Virtually complete skeleton,8818471.77,9744469.49
Stegosauridae,Virtually complete skeleton,16480025.28,19367665.26
Allosauridae,Femur,1179368.62,1243847.96
Ceratopsidae,Femur,718044.41,782743.53
Thescelosauridae,Skull,367578.67,430364.23
Stegosauridae,Femur,9573699.86,10734713.99
Camptosauridae,Skeleton,1382659.3,1456752.57
Tarbosauridae,Composite skeleton,1737512.04,1830257.92
Thescelosauridae,Articulated leg,352545.58,373952.64
Apatosauridae,Femur,5260991.49,5723033.24
Tyrannosauridae,Nest with eggs,2638792.92,2930170.71
Thescelosauridae,Skeleton,517548.39,615401.53
Diplodocidae,Articulated leg,2416891.55,2709908.17
Apatosauridae,Virtually complete skeleton,10387153.71,11901308.59
Camptosauridae,Skull,649036.81,738661.62
Ceratopsidae,Skeleton,1411804.04,1583715.1
Apatosauridae,Skeleton,8502030.45,9023826.28
Hadrosauridae,Skull,1295487.57,1447815.78
Apatosauridae,Virtually complete skeleton,9321692.34,9969937.74
Allosauridae,Skull,1822773.77,1971383.77
Hadrosauridae,Virtually complete skeleton,1846859.68,2056768.79
Tarbosauridae,Partial skeleton,1417168.63,1488358.7
Unidentified,Nest with eggs,141659.14,153330.49
Hypsilophodontidae,Partial skeleton,478016.65,562214.35
Dromaeosauridae,Articulated leg,2044676.52,2371451.22
Allosauridae,Skull,1904328.83,2238461.85
Tarbosauridae,Femur,1123063.21,1279932.28
Tyrannosauridae,Articulated leg,4743999.73,5666184.1
Thescelosauridae,Nest with eggs,198065.92,228215.17
Tarbosauridae,Virtually complete skeleton,2378347.27,2582357.49
Hadrosauridae,Articulated leg,1057591.21,1193347.83
Dromaeosauridae,Skull,2323726.18,2472607.03
Tyrannosauridae,Skeleton,6530392.3,7105187.41
Hadrosauridae,Skeleton,1733183.84,1880522.33
Diplodocidae,Partial skeleton,3924846.36,4408731.85
Diplodocidae,Composite skeleton,4818738.7,5360924.75
Dromaeosauridae,Skeleton,3766022.66,4169242.42
Hypsilophodontidae,Femur,354339.06,418174.44
Allosauridae,Skull,2021898.03,2205881.31
Allosauridae,Virtually complete skeleton,3581253.76,4165064.74
Diplodocidae,Nest with eggs,1808211.33,1947818.9
Tarbosauridae,Femur,1336126.87,1574298.01
Hypsilophodontidae,Nest with eggs,236697.45,271980.08
Tyrannosauridae,Nest with eggs,2405240.0,2568718.3
Hadrosauridae,Femur,1027154.1,1177832.85
Camptosauridae,Partial skeleton,780038.73,894166.08
Camptosauridae,Femur,650617.75,713064.2
Hypsilophodontidae,Femur,270297.21,290017.71
Diplodocidae,Composite skeleton,3992639.04,4229402.98
Ceratopsidae,Partial skeleton,1133417.27,1263949.33
Dromaeosauridae,Partial skeleton,2830178.05,3277404.33
Hypsilophodontidae,Skeleton,581193.9,693596.13
Hypsilophodontidae,Skeleton,624403.96,726638.48
Tyrannosauridae,Articulated leg,4770625.56,5687270.3
Stegosauridae,Virtually complete skeleton,18875627.38,19989541.89
Tyrannosauridae,Partial skeleton,6388194.16,6921107.14
